roc wrdlkh roc_sent_macro roc_trans roc_macro_trans fprAUC traintime
20 0.724404 -21136450.000000 0.565679 0.000000 0.000000 0.088014 2046.000000
30 0.737303 -21007760.000000 0.586439 0.000000 0.000000 0.076206 3219.000000
40 0.747116 -20920680.000000 0.605260 0.000000 0.000000 0.069911 4357.000000
50 0.754602 -20834470.000000 0.617759 0.000000 0.000000 0.065896 5297.000000
60 0.762001 -20783140.000000 0.629053 0.000000 0.000000 0.063149 6225.000000
70 0.767404 -20724160.000000 0.639388 0.000000 0.000000 0.061017 7358.000000
80 0.772556 -20678990.000000 0.649360 0.000000 0.000000 0.059224 8508.000000
90 0.775295 -20651180.000000 0.653222 0.000000 0.000000 0.058006 9647.000000
100 0.778888 -20619660.000000 0.661091 0.000000 0.000000 0.056867 10772.000000
110 0.782616 -20595810.000000 0.662959 0.000000 0.000000 0.055829 11850.000000
120 0.785148 -20561770.000000 0.670511 0.000000 0.000000 0.055069 12981.000000
130 0.788326 -20543350.000000 0.674872 0.000000 0.000000 0.054339 14082.000000
140 0.791005 -20516890.000000 0.680840 0.000000 0.000000 0.053793 15203.000000
150 0.792752 -20497640.000000 0.684365 0.000000 0.000000 0.053155 16129.000000
160 0.794293 -20483480.000000 0.686714 0.000000 0.000000 0.052766 17057.000000
170 0.796106 -20464550.000000 0.687450 0.000000 0.000000 0.052158 18175.000000
180 0.796605 -20448510.000000 0.690492 0.000000 0.000000 0.051798 19216.000000
190 0.797600 -20433850.000000 0.693278 0.000000 0.000000 0.051328 20211.000000
200 0.799971 -20421100.000000 0.695068 0.000000 0.000000 0.051076 21192.000000
210 0.800515 -20411340.000000 0.697712 0.000000 0.000000 0.050789 22192.000000
220 0.801794 -20402130.000000 0.698450 0.000000 0.000000 0.050359 23188.000000
230 0.803196 -20388360.000000 0.700042 0.000000 0.000000 0.050127 24189.000000
240 0.803949 -20379100.000000 0.700416 0.000000 0.000000 0.049750 25100.000000
250 0.803531 -20370510.000000 0.702872 0.000000 0.000000 0.049568 26049.000000
260 0.805232 -20359420.000000 0.702238 0.000000 0.000000 0.049314 27046.000000
270 0.805399 -20351090.000000 0.702795 0.000000 0.000000 0.049081 28035.000000
280 0.805504 -20343400.000000 0.702768 0.000000 0.000000 0.048961 29028.000000
290 0.806843 -20337290.000000 0.706358 0.000000 0.000000 0.048806 30042.000000
300 0.808225 -20328760.000000 0.709134 0.000000 0.000000 0.048514 30959.000000
310 0.807911 -20322570.000000 0.708760 0.000000 0.000000 0.048423 31866.000000
